Pair{52, 350}
Pair{53, 350}
Pair{54, 350}
Pair{55, 350}
Pair{56, 350}
Pair{57, 350}
Pair{59, 350}
Pair{60, 350}
Pair{61, 350}
Pair{62, 350}
Pair{63, 352}
Pair{64, 352}
Pair{65, 352}
Pair{66, 352}
Pair{68, 352}
Pair{69, 352}
Pair{70, 352}
Pair{70, 353}
Pair{71, 353}
Pair{72, 353}
Pair{73, 353}
Pair{74, 353}
Pair{76, 353}
Pair{77, 354}
Pair{78, 354}
Pair{79, 354}
Pair{80, 354}
Pair{81, 354}
Pair{82, 354}
Pair{84, 354}
Pair{85, 354}
Pair{86, 354}
Pair{87, 354}
Pair{88, 354}
Pair{89, 354}
Pair{90, 354}
Pair{92, 354}
Pair{93, 354}
Pair{95, 354}
Pair{96, 354}
Pair{97, 354}
Pair{98, 354}
Pair{99, 354}
Pair{101, 354}
Pair{102, 354}
Pair{103, 354}
Pair{104, 354}
Pair{105, 354}
Pair{106, 353}
Pair{107, 353}
Pair{109, 353}
Pair{110, 353}
Pair{111, 353}
Pair{112, 353}
Pair{112, 351}
Pair{113, 351}
Pair{114, 351}
Pair{115, 351}
Pair{117, 351}
Pair{118, 351}
Pair{119, 350}
Pair{120, 350}
Pair{122, 350}
Pair{123, 350}
Pair{125, 350}
Pair{126, 350}
Pair{127, 350}
Pair{128, 350}
Pair{129, 350}
Pair{130, 350}
Pair{131, 350}
Pair{132, 350}
Pair{134, 350}
Pair{135, 350}
Pair{136, 350}
Pair{137, 350}
Pair{138, 350}
Pair{139, 350}
Pair{140, 350}
Pair{142, 350}
Pair{143, 350}
Pair{144, 350}
Pair{145, 350}
Pair{146, 350}
Pair{147, 350}
Pair{148, 350}
Pair{150, 350}
Pair{151, 350}
Pair{152, 350}
Pair{154, 350}
Pair{155, 350}
Pair{156, 350}
Pair{158, 350}
Pair{159, 350}
Pair{160, 350}
Pair{161, 350}
Pair{161, 348}
Pair{161, 346}
Pair{161, 345}
Pair{161, 343}
Pair{161, 342}
Pair{161, 340}
Pair{161, 339}
Pair{161, 337}
Pair{162, 337}
Pair{162, 334}
Pair{162, 333}
Pair{162, 332}
Pair{162, 331}
Pair{162, 330}
Pair{162, 328}
Pair{163, 326}
Pair{163, 325}
Pair{163, 323}
Pair{163, 322}
Pair{163, 321}
Pair{163, 318}
Pair{164, 316}
Pair{164, 315}
Pair{164, 314}
Pair{164, 313}
Pair{164, 312}
Pair{164, 310}
Pair{164, 309}
Pair{164, 308}
Pair{165, 307}
Pair{165, 306}
Pair{165, 305}
Pair{165, 304}
Pair{165, 302}
Pair{165, 301}
Pair{165, 300}
Pair{165, 299}
Pair{165, 298}
Pair{165, 297}
Pair{165, 296}
Pair{165, 295}
Pair{165, 293}
Pair{165, 292}
Pair{165, 290}
Pair{165, 289}
Pair{165, 288}
Pair{165, 287}
Pair{165, 285}
Pair{165, 284}
Pair{165, 283}
Pair{165, 282}
Pair{165, 281}
Pair{165, 280}
Pair{165, 279}
Pair{165, 277}
Pair{165, 276}
Pair{165, 275}
Pair{165, 274}
Pair{165, 273}
Pair{165, 272}
Pair{165, 271}
Pair{165, 269}
Pair{165, 267}
Pair{164, 265}
Pair{164, 264}
Pair{164, 261}
Pair{164, 260}
Pair{164, 259}
Pair{164, 258}
Pair{164, 257}
Pair{164, 256}
Pair{164, 255}
Pair{163, 253}
Pair{163, 252}
Pair{163, 251}
Pair{163, 250}
Pair{163, 249}
Pair{163, 248}
Pair{162, 248}
Pair{161, 248}
Pair{159, 248}
Pair{158, 248}
Pair{157, 248}
Pair{156, 248}
Pair{155, 248}
Pair{154, 248}
Pair{153, 248}
Pair{151, 248}
Pair{150, 248}
Pair{149, 248}
Pair{148, 248}
Pair{147, 248}
Pair{146, 248}
Pair{145, 248}
Pair{143, 248}
Pair{142, 248}
Pair{141, 248}
Pair{140, 248}
Pair{139, 248}
Pair{138, 248}
Pair{137, 248}
Pair{136, 248}
Pair{134, 248}
Pair{133, 248}
